date,open,high,low,close,volume,ma50,ma200
2025-12-01 10:30:00,10.26,10.3,10.25,10.27,2370900,,
2025-12-01 10:45:00,10.27,10.28,10.22,10.27,1216400,,
2025-12-01 11:00:00,10.27,10.33,10.27,10.32,3129900,,
2025-12-01 11:15:00,10.33,10.33,10.28,10.28,1231100,,
2025-12-01 11:30:00,10.28,10.3,10.27,10.28,770500,,
2025-12-01 13:15:00,10.28,10.3,10.24,10.28,1295400,,
2025-12-01 13:30:00,10.29,10.34,10.26,10.26,1983800,,
2025-12-01 13:45:00,10.26,10.29,10.26,10.28,891600,,
2025-12-01 14:00:00,10.28,10.29,10.27,10.29,969400,,
2025-12-01 14:15:00,10.28,10.29,10.27,10.29,857800,,
2025-12-01 14:30:00,10.28,10.29,10.26,10.28,1021900,,
2025-12-01 14:45:00,10.28,10.29,10.26,10.28,1120100,,
2025-12-01 15:00:00,10.29,10.29,10.26,10.28,1276200,,
2025-12-02 09:45:00,10.28,10.37,10.22,10.34,4936800,,
2025-12-02 10:00:00,10.34,10.35,10.32,10.34,1252200,,
2025-12-02 10:15:00,10.34,10.37,10.33,10.35,2094900,,
2025-12-02 10:30:00,10.36,10.37,10.35,10.37,1444800,,
2025-12-02 10:45:00,10.36,10.37,10.32,10.33,1957500,,
2025-12-02 11:00:00,10.33,10.34,10.32,10.33,1053300,,
2025-12-02 11:15:00,10.33,10.34,10.31,10.33,996600,,
2025-12-02 11:30:00,10.32,10.33,10.31,10.32,805200,,
2025-12-02 13:15:00,10.32,10.33,10.3,10.32,1132300,,
2025-12-02 13:30:00,10.32,10.32,10.29,10.32,1368000,,
2025-12-02 13:45:00,10.31,10.32,10.29,10.31,1135700,,
2025-12-02 14:00:00,10.31,10.32,10.29,10.29,1685900,,
2025-12-02 14:15:00,10.3,10.31,10.29,10.3,837300,,
2025-12-02 14:30:00,10.3,10.32,10.3,10.3,1018600,,
2025-12-02 14:45:00,10.31,10.32,10.29,10.32,1189300,,
2025-12-02 15:00:00,10.3,10.32,10.29,10.3,1123000,,
2025-12-03 09:45:00,10.31,10.33,10.27,10.28,1174000,,
2025-12-03 10:00:00,10.27,10.32,10.27,10.31,932100,,
2025-12-03 10:15:00,10.31,10.34,10.3,10.33,1085900,,
2025-12-03 10:30:00,10.33,10.35,10.32,10.32,766600,,
2025-12-03 10:45:00,10.32,10.34,10.32,10.34,608200,,
2025-12-03 11:00:00,10.34,10.36,10.33,10.36,914000,,
2025-12-03 11:15:00,10.36,10.36,10.34,10.35,581300,,
2025-12-03 11:30:00,10.34,10.36,10.33,10.34,515100,,
2025-12-03 13:15:00,10.34,10.36,10.33,10.36,767400,,
2025-12-03 13:30:00,10.36,10.36,10.33,10.35,801500,,
2025-12-03 13:45:00,10.35,10.35,10.33,10.34,372600,,
2025-12-03 14:00:00,10.34,10.34,10.3,10.3,669400,,
2025-12-03 14:15:00,10.3,10.31,10.29,10.3,855700,,
